LAT,LON,PlantType,PLCO2RTA_total,Capacity,Total_generation_Sum,Non_Zero_Hours_Count,Average_generation_p_hour
29.4828,-95.6311,O/G Steam,0.0,1163.0,0.0,0,0.0
29.49233,-94.98483,Combustion Turbine,1965131.1468667525,360.0,1283.2110044924098,22,9.721295488578862
29.550278,-96.537778,Combustion Turbine,6691185.867600086,49.800000000000004,6075.600000000079,732,2.766666666666685
29.5806,-90.7225,O/G Steam,0.0,72.5,0.0,0,0.0
29.593056,-97.973215,Combined Cycle,0.0,812.0,0.0,0,0.0
29.6,-104.3,Solar PV,0.0,10.0,1367.2250687562196,307,4.453501852626123
29.6225,-95.0458,Combustion Turbine,39729304.09283042,290.0,71931.1565183306,1075,43.97056005413925
29.623056,-82.38,Solar PV,0.0,1.2,161.0995035471079,300,0.5369983451570264
29.6244,-98.1419,Combined Cycle,0.0,986.0,0.0,0,0.0
29.6383,-82.34,Combustion Turbine,322732.63434020814,11.7,553.6339975129443,172,3.2188023111217694
29.640278,-82.348611,Combustion Turbine,2210933.8201320623,47.0,2223.999819069093,86,25.860463012431314
29.6461,-82.3208,Combined Cycle,84315828.016,112.0,80752.0,1442,56.0
29.646791,-95.054145,Combustion Turbine,1271991.816,25.5,1224.0,48,25.5
29.647267,-95.451516,Combustion Turbine,131500078.164,117.0,84357.0,721,117.0
29.665556,-82.058333,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
29.681032,-99.762212,Solar PV,0.0,1.352132701,158.77164455777506,300,0.5292388151925835
29.68455,-91.470619,Non-Fossil Waste,0.0,47.9,34535.90000000046,721,47.90000000000064
29.691111,-91.192778,Combined Cycle,55986706.841800146,81.1,58473.10000000016,1442,40.55000000000011
29.694838,-95.040622,Combustion Turbine,34035539.07670969,162.0,20662.123971211102,354,58.36758183957939
29.6981,-95.2547,O/G Steam,0.0,35.0,0.0,0,0.0
29.700407,-82.337828,Solar PV,0.0,1.6,214.79933806281056,300,0.7159977935427019
29.7028,-95.0718,Combustion Turbine,30347275.717254985,152.0,19386.684219901777,708,27.382322344494035
29.703454,-95.398317,Combustion Turbine,3880634.6210013423,48.0,6122.110806284774,177,34.58819664567669
29.713414,-95.134508,Combined Cycle,584748292.4640052,1116.0,804636.0000000071,4326,186.00000000000162
29.7189,-95.2319,Combined Cycle,333551350.27199996,768.0,553727.9999999999,2884,191.99999999999997
29.71977,-95.270562,Non-Fossil Waste,0.0,7.0,5047.0,1442,3.5
29.72475,-95.176479,Combined Cycle,78241226.95228538,710.0,89886.67489115932,1045,127.12759232385017
29.72753,-100.79431,Onshore Wind,0.0,149.3,47328.16285769587,721,65.64238953910662
29.7314,-95.0839,Combined Cycle,26193792.446747236,263.0,39551.71018146342,604,65.43500698719899
29.733056,-81.632778,Coal Steam,0.0,1309.0,0.0,0,0.0
29.7372,-98.0228,Landfill Gas,0.0,3.2,2307.2000000000057,1442,1.6000000000000039
29.739444,-95.194722,Non-Fossil Waste,0.0,14.0,10094.0,721,14.0
29.75,-94.9256,O/G Steam,0.0,1495.0,0.0,0,0.0
29.751645,-94.92312,Combined Cycle,320205744.096,502.0,361942.0,2163,167.33333333333334
29.753517,-94.997277,Combustion Turbine,2711555.5761693493,134.0,17090.892667544984,1062,16.09311927264123
29.753517,-94.997277,Non-Fossil Waste,0.0,7.5,5407.499999999999,721,7.499999999999999
29.756944,-81.897222,Solar PV,0.0,74.5,10001.594178549616,300,33.33864726183205
29.7592,-82.3878,Coal Steam,4810565.163828881,232.0,2589.1859898053394,20,129.45929949026697
29.7592,-82.3878,Combustion Turbine,9670800.591966718,110.0,5205.105959523409,258,20.17482930047833
29.7592,-82.3878,O/G Steam,0.0,75.0,0.0,0,0.0
29.7675,-82.396388,Biomass,35995867.32,102.0,73542.0,721,102.0
29.7731,-94.9019,Combined Cycle,270790717.36753243,770.0,374301.05364594224,2228,190.69636017670084
29.7806,-97.9894,Combined Cycle,0.0,881.0,0.0,0,0.0
29.8161,-95.10773,Combined Cycle,66530934.03308167,536.5,100107.183801735,1386,72.22740534035714
